,RMSE,MAE,MAPE,WAPE
"XGBoost (nowcast, uses last hour)",0.4718000385898512,0.3255143528506118,39.765958403534505,30.680207224061196
XGBoost (day-ahead),0.6130614274358644,0.4484921251043478,62.468701554075864,42.27104339966159
Ensemble (XGBoost + LSTM),0.6146053766565902,0.45297154847021853,63.134199071011835,42.69323564988254
LSTM,0.6461969476548988,0.4760261136781693,65.93258522938478,44.86616237906173
Seasonal Naive (day-ahead),0.8247852669271407,0.5602392101958475,68.69021200067785,52.80337076792795
Holt-Winters,1.1478055899450035,0.9785818504091741,187.18248605441056,92.23278080778577
